Slug,Name,Version,"Previous Version","Download Link",Released,"WordPress.org URL","Required WP","Required PHP","Active Installs"
alexia,Alexia,1.0.72,1.0.71,https://downloads.wordpress.org/theme/alexia.1.0.72.zip,"2025-04-01 00:54:10",https://wordpress.org/themes/alexia/,,5.4
arvila,Arvila,1.0.67,1.0.66,https://downloads.wordpress.org/theme/arvila.1.0.67.zip,"2025-04-01 00:53:03",https://wordpress.org/themes/arvila/,,5.4
avine,Avine,1.0.61,1.0.60,https://downloads.wordpress.org/theme/avine.1.0.61.zip,"2025-04-01 00:51:03",https://wordpress.org/themes/avine/,,5.4
avire,Avire,1.0.51,1.0.50,https://downloads.wordpress.org/theme/avire.1.0.51.zip,"2025-04-01 00:49:11",https://wordpress.org/themes/avire/,,5.4
blogbd,BlogBD,1.2.8,1.2.7,https://downloads.wordpress.org/theme/blogbd.1.2.8.zip,"2025-04-01 00:36:48",https://wordpress.org/themes/blogbd/,4.4,7.0
enovia,Enovia,1.0.59,1.0.58,https://downloads.wordpress.org/theme/enovia.1.0.59.zip,"2025-04-01 00:50:11",https://wordpress.org/themes/enovia/,,5.4
flixicart,FlixiCart,1.0.79,1.0.78,https://downloads.wordpress.org/theme/flixicart.1.0.79.zip,"2025-04-01 00:55:03",https://wordpress.org/themes/flixicart/,,5.4
flixify,Flixify,1.0.49,1.0.48,https://downloads.wordpress.org/theme/flixify.1.0.49.zip,"2025-04-01 00:47:56",https://wordpress.org/themes/flixify/,,5.4
multibiz,MultiBiz,1.0.64,1.0.63,https://downloads.wordpress.org/theme/multibiz.1.0.64.zip,"2025-04-01 00:52:00",https://wordpress.org/themes/multibiz/,,5.4
grocefycart,GrocefyCart,1.0.3,,https://downloads.wordpress.org/theme/grocefycart.1.0.3.zip,"2025-04-01 02:11:50",https://wordpress.org/themes/grocefycart/,5.9,7.0
poultry-farm,"Poultry Farm",0.9,0.8,https://downloads.wordpress.org/theme/poultry-farm.0.9.zip,"2025-04-01 04:28:14",https://wordpress.org/themes/poultry-farm/,5.6,7.2
unique-blogger,"Unique Blogger",1.0.3,1.0.2,https://downloads.wordpress.org/theme/unique-blogger.1.0.3.zip,"2025-04-01 04:28:22",https://wordpress.org/themes/unique-blogger/,5.6,7.2
unique-freelancer-portfolio,"Unique Freelancer Portfolio",1.0.2,1.0.1,https://downloads.wordpress.org/theme/unique-freelancer-portfolio.1.0.2.zip,"2025-04-01 04:28:38",https://wordpress.org/themes/unique-freelancer-portfolio/,5.6,7.2
unique-fun-center,"Unique Fun Center",1.0.3,1.0.2,https://downloads.wordpress.org/theme/unique-fun-center.1.0.3.zip,"2025-04-01 04:28:48",https://wordpress.org/themes/unique-fun-center/,5.6,7.2
unique-graphic-designer,"Unique Graphic Designer",1.0.8,1.0.7,https://downloads.wordpress.org/theme/unique-graphic-designer.1.0.8.zip,"2025-04-01 04:29:00",https://wordpress.org/themes/unique-graphic-designer/,5.6,7.2
call-center-bpo,"Call Center BPO",4.5,4.4,https://downloads.wordpress.org/theme/call-center-bpo.4.5.zip,"2025-04-01 05:05:10",https://wordpress.org/themes/call-center-bpo/,5.0,7.2
foodie-restaurant,"Foodie Restaurant",4.4,4.3,https://downloads.wordpress.org/theme/foodie-restaurant.4.4.zip,"2025-04-01 05:05:39",https://wordpress.org/themes/foodie-restaurant/,5.0,7.2
movaone,Movaone,2.1,1.1.3,https://downloads.wordpress.org/theme/movaone.2.1.zip,"2025-04-01 04:59:55",https://wordpress.org/themes/movaone/,6.4,8.1
online-video-games,"Online Video Games",4.4,4.3,https://downloads.wordpress.org/theme/online-video-games.4.4.zip,"2025-04-01 05:05:58",https://wordpress.org/themes/online-video-games/,5.0,7.2
professional-cv-resume,"Professional CV Resume",4.7,4.6,https://downloads.wordpress.org/theme/professional-cv-resume.4.7.zip,"2025-04-01 05:06:14",https://wordpress.org/themes/professional-cv-resume/,5.0,7.2
professional-video-vlogger,"Professional Video Vlogger",4.3,4.2,https://downloads.wordpress.org/theme/professional-video-vlogger.4.3.zip,"2025-04-01 05:06:40",https://wordpress.org/themes/professional-video-vlogger/,5.0,7.2
transcargo-transportation,"Transcargo Transportation",4.1,4.0,https://downloads.wordpress.org/theme/transcargo-transportation.4.1.zip,"2025-04-01 05:06:54",https://wordpress.org/themes/transcargo-transportation/,5.0,7.2
