Slug,Name,Version,"Previous Version","Download Link",Released,"WordPress.org URL","Required WP","Required PHP","Active Installs"
misbah-blog,"Misbah Blog",1.7.9,1.7.8,https://downloads.wordpress.org/theme/misbah-blog.1.7.9.zip,"2025-03-01 02:48:48",https://wordpress.org/themes/misbah-blog/,5.0,7.2
spa-salon,"Spa Salon",6.0,5.9,https://downloads.wordpress.org/theme/spa-salon.6.0.zip,"2025-03-01 02:49:20",https://wordpress.org/themes/spa-salon/,5.0,7.2
the-home-decor,"The Home Decor",1.5,1.4,https://downloads.wordpress.org/theme/the-home-decor.1.5.zip,"2025-03-01 02:49:52",https://wordpress.org/themes/the-home-decor/,5.0,7.2
the-travel-booking,"The Travel Booking",5.1,5.0,https://downloads.wordpress.org/theme/the-travel-booking.5.1.zip,"2025-03-01 02:50:41",https://wordpress.org/themes/the-travel-booking/,5.0,7.2
webinar-education,"Webinar Education",10.2,10.1,https://downloads.wordpress.org/theme/webinar-education.10.2.zip,"2025-03-01 02:51:08",https://wordpress.org/themes/webinar-education/,5.0,7.2
shopire,Shopire,0.7,0.6,https://downloads.wordpress.org/theme/shopire.0.7.zip,"2025-03-01 06:09:22",https://wordpress.org/themes/shopire/,4.7,5.6
building-construction-company,"Building Construction Company",0.2.1,0.2.0,https://downloads.wordpress.org/theme/building-construction-company.0.2.1.zip,"2025-03-01 06:58:33",https://wordpress.org/themes/building-construction-company/,5.0,7.2
expert-mechanic,"Expert Mechanic",0.4.3,0.4.2,https://downloads.wordpress.org/theme/expert-mechanic.0.4.3.zip,"2025-03-01 06:39:43",https://wordpress.org/themes/expert-mechanic/,,7.2
modern-salon,"Modern Salon",0.8,0.7,https://downloads.wordpress.org/theme/modern-salon.0.8.zip,"2025-03-01 06:40:16",https://wordpress.org/themes/modern-salon/,5.0,7.2
the-pet-clinic,"The Pet Clinic",0.7.5,0.7.4,https://downloads.wordpress.org/theme/the-pet-clinic.0.7.5.zip,"2025-03-01 06:39:07",https://wordpress.org/themes/the-pet-clinic/,,7.2
adventure-camping,"Adventure Camping",0.2.3,0.2.2,https://downloads.wordpress.org/theme/adventure-camping.0.2.3.zip,"2025-03-01 08:22:04",https://wordpress.org/themes/adventure-camping/,5.0,7.2
archaeology-museums,"Archaeology Museums",0.2.2,0.2.1,https://downloads.wordpress.org/theme/archaeology-museums.0.2.2.zip,"2025-03-01 08:22:40",https://wordpress.org/themes/archaeology-museums/,5.0,7.2
coupons-deals,"Coupons Deals",0.7.6,0.7.5,https://downloads.wordpress.org/theme/coupons-deals.0.7.6.zip,"2025-03-01 08:27:42",https://wordpress.org/themes/coupons-deals/,5.0,7.2
dropshipping-store,"Dropshipping Store",0.8.4,0.8.3,https://downloads.wordpress.org/theme/dropshipping-store.0.8.4.zip,"2025-03-01 08:29:47",https://wordpress.org/themes/dropshipping-store/,5.0,7.2
event-management,"Event Management",0.7.4,0.7.3,https://downloads.wordpress.org/theme/event-management.0.7.4.zip,"2025-03-01 08:30:48",https://wordpress.org/themes/event-management/,5.0,7.2
perfect-blog,"Perfect Blog",1.2.6,1.2.5,https://downloads.wordpress.org/theme/perfect-blog.1.2.6.zip,"2025-03-01 08:30:29",https://wordpress.org/themes/perfect-blog/,5.0,7.2
perfect-blogging,"Perfect Blogging",0.7.7,0.7.6,https://downloads.wordpress.org/theme/perfect-blogging.0.7.7.zip,"2025-03-01 08:29:48",https://wordpress.org/themes/perfect-blogging/,5.0,7.2
repair-shop,"Repair Shop",0.3.2,0.3.1,https://downloads.wordpress.org/theme/repair-shop.0.3.2.zip,"2025-03-01 08:24:50",https://wordpress.org/themes/repair-shop/,5.0,7.2
ts-charity,"TS Charity",1.1.4,1.1.3,https://downloads.wordpress.org/theme/ts-charity.1.1.4.zip,"2025-03-01 08:26:52",https://wordpress.org/themes/ts-charity/,5.0,7.2
